Data,Último,Abertura,Máxima,Mínima,Vol,Var%
2025-04-01,953787,825486,957186,745242,2029999.9999999998,0.15539999999999998
2025-03-01,825488,843534,949865,766771,2370000,-0.0217
2025-02-01,843812,1024213,1027708,783298,2400000,-0.1074
2025-01-01,945361,946000,959281,894231,55300,0.0105
2024-12-01,935572,964047,1082449,915223,4410000,-0.029500000000000002
2024-11-01,964057,702787,996174,668340,4160000,0.37170000000000003
2024-10-01,702818,633299,735694,590757,2560000,0.1096
2024-09-01,633392,589757,664407,526446,2340000,0.0739
2024-08-01,589786,646257,655879,494869,2560000,-0.0874
2024-07-01,646260,627688,700002,538834,2060000,0.0298
2024-06-01,627543,675339,719565,585899,1600000,-0.0707
2024-05-01,675301,606650,718720,566435,2100000,0.1131
2024-04-01,606666,713293,727108,592287,2660000,-0.1495
2024-03-01,713320,611573,737409,601382,2700000,0.1661
2024-02-01,611693,425801,639153,418905,1740000,0.4366
2024-01-01,425805,422725,489237,385469,2029999.9999999998,0.0073
2023-12-01,422725,377129,446976,376183,1630000,0.1209
2023-11-01,377129,346483,384008,341242,1480000,0.08839999999999999
2023-10-01,346506,269625,351914,265584,1610000,0.2851
2023-09-01,269627,259383,274807,249231,1150000,0.0395
2023-08-01,259373,292323,301686,254819,1340000,-0.1127
2023-07-01,292324,304729,317645,288907,1230000,-0.0407
2023-06-01,304729,272164,313954,248380,1770000,0.1197
2023-05-01,272161,292521,298164,258531,1660000,-0.0696
2023-04-01,292521,284737,309649,270543,2029999.9999999998,0.0273
2023-03-01,284737,231306,291604,195918,10260000,0.231
2023-02-01,231305,231247,252368,214187,9090000,2e-4
2023-01-01,231251,165375,239529,164997,8980000,0.3983
2022-12-01,165374,171634,183518,163312,6610000,-0.0365
2022-11-01,171639,204961,214647,155042,10300000,-0.16260000000000002
2022-10-01,204963,194229,210381,182079,8289999.999999999,0.0553
2022-09-01,194230,200499,227025,181918,10910000,-0.031
2022-08-01,200439,233034,252057,195429,6550000,-0.1399
2022-07-01,233034,199266,246053,187944,5790000,0.16949999999999998
2022-06-01,199266,317931,319699,176305,3790000,-0.3732
2022-05-01,317934,376420,400210,265005,4670000000,-0.15560000000000002
2022-04-01,376500,455290,474350,375960,12140000000,-0.17300000000000001
2022-03-01,455250,431872,481990,371821,43700000000,0.0541
2022-02-01,431882,384756,457552,343574,1820000,0.12179999999999999
2022-01-01,384986,462175,479449,329856,2029999.9999999998,-0.16699999999999998
2021-12-01,462195,568917,590643,425878,1900000,-0.1875
2021-11-01,568829,613101,689906,534483,1850000,-0.0722
2021-10-01,613096,438244,669671,432929,2180000,0.39899999999999997
2021-09-01,438233,471292,528853,396468,2210000,-0.0702
2021-08-01,471304,415100,504988,373654,2140000,0.13419999999999999
2021-07-01,415537,350307,422853,293102,2440000,0.1863
2021-06-01,350269,372943,413180,289018,4139999.9999999995,-0.060899999999999996
2021-05-01,372986,577191,595239,302617,5330000,-0.3538
2021-04-01,577203,587632,647780,470985,2970000,-0.0178
2021-03-01,587637,451605,617958,450088,3010000,0.3011
2021-02-01,451640,331068,583351,323249,4010000,0.3641
2021-01-01,331081,289517,419217,282045,5500000,0.1437
2020-12-01,289494,196978,292988,176001,3850000,0.4697
2020-11-01,196981,183946,198312,162352,4050000,0.4277
2020-10-01,137973,107766,140654,103876,2410000,0.2804
2020-09-01,107761,116442,120459,98771,83880000,-0.0746
2020-08-01,116442,113332,124441,107307,15390000,0.0274
2020-07-01,113334,109611,114348,107718,13210000,0.24059999999999998
2020-06-01,91354,94545,103018,88653,15350000,-0.0338
2020-05-01,94548,86286,100330,82356,38480000,0.09570000000000001
2020-04-01,86290,64124,94375,61574,39410000,0.3456
2020-03-01,64125,85438,91808,38695,48240000,-0.2494
2020-02-01,85437,93493,104826,85437,23760000,-0.0862
2020-01-01,93491,71964,95690,68841,23560000,0.2991
2019-12-01,71964,75465,77022,64622,21030000,-0.0464
2019-11-01,75466,91531,95004,65348,21330000,-0.17550000000000002
2019-10-01,91526,82850,105400,73292,19930000,0.1048
2019-09-01,82843,95947,108962,77490,13580000,-0.1365
2019-08-01,95944,100819,122919,93430,17530000,-0.0484
2019-07-01,100820,108214,131344,90826,23610000,-0.0681
2019-06-01,108186,85569,139298,74804,22960000,0.2641
2019-05-01,85583,53211,90459,53195,44060000,0.6085
2019-04-01,53208,41023,55944,40768,54030000,0.297
2019-03-01,41023,38167,41381,36818,81620000,0.07490000000000001
2019-02-01,38166,34377,41942,33825,23130000,0.1104
2019-01-01,34372,37095,40705,33682,15720000,-0.07339999999999999
2018-12-01,37094,40387,43161,31770,15700000,-0.0818
2018-11-01,40397,63659,65943,36342,8710000,-0.3654
2018-10-01,63659,66352,73584,60349,58800000,-0.0406
