Data,Último,Abertura,Máxima,Mínima,Vol,Var%
2025-04-01,1737641,1722155,1771644,1478547,34740000000,0.0045000000000000005
2025-03-01,1729929,1892336,1899230,1685437,30700000000,-0.0821
2025-02-01,1884728,1921538,2011012,1837299,26420000000,-0.0397
2025-01-01,1962744,1940390,2011861,1883191,27480000000,0.016399999999999998
2024-12-01,1931079,1925543,2020458,1916838,29490000000,0.0048
2024-11-01,1921817,1818967,1936607,1811283,25040000000,0.0621
2024-10-01,1809515,1815494,1878549,1776779,23320000000,-0.0052
2024-09-01,1818917,1758545,1832734,1666857,23210000000,0.0268
2024-08-01,1771362,1764703,1801769,1570854,26770000000,0.006500000000000001
2024-07-01,1759940,1777390,1867107,1701538,23240000000,-0.0075
2024-06-01,1773260,1686570,1803500,1664643,24960000000,0.0596
2024-05-01,1673501,1564609,1703265,1555764,25030000000,0.0688
2024-04-01,1565782,1639705,1649065,1522278,21210000000,-0.0441
2024-03-01,1637946,1610983,1653886,1586263,23150000000,0.0179
2024-02-01,1609192,1525402,1613422,1520888,21720000000,0.061200000000000004
2024-01-01,1516401,1487370,1563058,1447757,21220000000,0.0102
2023-12-01,1501135,1418135,1515007,1405852,23680000000,0.0552
2023-11-01,1422622,1288706,1442322,1287520,19770000000,0.107
2023-10-01,1285124,1321799,1371414,1254386,19190000000,-0.0278
2023-09-01,1321932,1412996,1414962,1296316,19740000000,-0.0581
2023-08-01,1403497,1427493,1430921,1316176,21070000000,-0.0217
2023-07-01,1434602,1379870,1444655,1356725,19250000000,0.0405
2023-06-01,1378792,1294446,1386406,1290363,25040000000,0.0659
2023-05-01,1293528,1221005,1315429,1192537,21610000000,0.057999999999999996
2023-04-01,1222658,1214609,1224543,1179877,17280000000,4e-4
2023-03-01,1222191,1144758,1222793,1098280,25370000000,0.0669
2023-02-01,1145554,1157314,1226956,1133447,19320000000,-0.0111
2023-01-01,1158455,1056206,1169189,1026504,19910000000,0.10679999999999999
2022-12-01,1046648,1147517,1157164,1020747,21690000000,-0.0873
2022-11-01,1146800,1115474,1149262,1026293,20080000000,0.0437
2022-10-01,1098815,1065901,1123044,1008883,19930000000,0.039
2022-09-01,1057562,1170744,1227019,1057233,22030000000,-0.105
2022-08-01,1181620,1231796,1318109,1179002,21710000000,-0.0464
2022-07-01,1239069,1100683,1242626,1091145,18160000000,0.1235
2022-06-01,1102874,1217689,1232012,1056514,26740000000,-0.08710000000000001
