Data,Último,Abertura,Máxima,Mínima,Vol,Var%
2025-04-01,5525.21,5597.25,5695.8,4834.15,NA,-0.0154
2025-03-01,5611.85,5968.33,5986.09,5488.73,NA,-0.0575
2025-02-01,5954.5,5969.65,6147.43,5837.66,NA,-0.014199999999999999
2025-01-01,6040.53,5903.26,6128.18,5773.31,NA,0.027000000000000003
2024-12-01,5881.63,6040.11,6099.97,5832.3,NA,-0.025
2024-11-01,6032.38,5723.22,6044.17,5696.51,NA,0.057300000000000004
2024-10-01,5705.45,5757.73,5878.46,5674,NA,-0.009899999999999999
2024-09-01,5762.48,5623.89,5767.37,5402.62,NA,0.0202
2024-08-01,5648.4,5537.84,5651.62,5119.26,NA,0.022799999999999997
2024-07-01,5522.3,5471.08,5669.67,5390.95,NA,0.0113
2024-06-01,5460.48,5297.15,5523.64,5234.32,NA,0.0347
2024-05-01,5277.51,5029.03,5341.88,5011.05,NA,0.048
2024-04-01,5035.69,5257.97,5263.95,4953.56,NA,-0.0416
2024-03-01,5254.35,5098.51,5264.85,5056.82,NA,0.031
2024-02-01,5096.27,4861.11,5111.06,4853.52,NA,0.051699999999999996
2024-01-01,4845.65,4745.2,4931.09,4682.11,NA,0.0159
2023-12-01,4769.83,4559.43,4793.3,4546.5,NA,0.044199999999999996
2023-11-01,4567.8,4201.27,4587.64,4197.74,NA,0.0892
2023-10-01,4193.8,4284.52,4393.57,4103.78,NA,-0.022000000000000002
2023-09-01,4288.05,4530.6,4541.25,4238.63,NA,-0.0487
2023-08-01,4507.66,4578.83,4584.62,4335.31,NA,-0.0177
2023-07-01,4588.96,4450.48,4607.07,4385.05,NA,0.0311
2023-06-01,4450.38,4183.03,4458.48,4171.64,NA,0.0647
2023-05-01,4179.83,4166.79,4231.1,4048.28,NA,0.0025
2023-04-01,4169.48,4102.2,4170.06,4049.35,NA,0.0146
2023-03-01,4109.31,3963.34,4110.75,3808.86,NA,0.0351
2023-02-01,3970.15,4070.07,4195.44,3943.08,NA,-0.026099999999999998
2023-01-01,4076.6,3853.29,4094.21,3794.33,NA,0.061799999999999994
2022-12-01,3839.5,4087.14,4100.96,3764.49,NA,-0.059000000000000004
2022-11-01,4080.11,3901.79,4080.11,3698.15,NA,0.0538
2022-10-01,3871.98,3609.78,3905.42,3491.58,NA,0.0799
2022-09-01,3585.62,3936.73,4119.28,3584.13,NA,-0.0934
2022-08-01,3955,4112.38,4325.28,3954.53,NA,-0.0424
2022-07-01,4130.29,3781,4140.15,3721.56,NA,0.0911
2022-06-01,3785.38,4149.78,4177.51,3636.87,NA,-0.0839
2022-05-01,4132.15,4130.61,4307.66,3810.32,NA,1e-4
2022-04-01,4131.93,4540.32,4593.45,4124.28,NA,-0.08800000000000001
2022-03-01,4530.41,4363.14,4637.3,4157.87,NA,0.0358
2022-02-01,4373.94,4519.57,4595.31,4114.65,NA,-0.031400000000000004
2022-01-01,4515.55,4778.14,4818.62,4222.62,NA,-0.0526
2021-12-01,4766.18,4602.82,4808.93,4495.12,NA,0.0436
2021-11-01,4567,4610.62,4743.83,4560,NA,-0.0083
2021-10-01,4605.38,4317.16,4608.08,4278.94,NA,0.0691
2021-09-01,4307.54,4528.8,4545.85,4305.91,NA,-0.047599999999999996
2021-08-01,4522.68,4406.86,4537.36,4367.73,NA,0.028999999999999998
2021-07-01,4395.26,4300.73,4429.97,4233.13,NA,0.0227
2021-06-01,4297.5,4216.52,4302.43,4164.4,NA,0.0222
2021-05-01,4204.11,4191.98,4238.04,4056.88,NA,0.0055000000000000005
2021-04-01,4181.17,3992.78,4218.78,3992.78,NA,0.0524
2021-03-01,3972.89,3842.51,3994.41,3723.34,NA,0.0424
2021-02-01,3811.15,3731.17,3950.43,3725.62,NA,0.026099999999999998
2021-01-01,3714.24,3764.61,3870.9,3662.71,NA,-0.0111
2020-12-01,3756.07,3645.87,3760.2,3633.4,NA,0.0371
2020-11-01,3621.63,3296.2,3645.99,3279.74,NA,0.1075
2020-10-01,3269.96,3385.87,3549.85,3233.94,NA,-0.0277
2020-09-01,3363,3507.44,3588.11,3209.45,NA,-0.0392
2020-08-01,3500.31,3288.26,3514.77,3284.53,NA,0.0701
2020-07-01,3271.12,3105.92,3279.99,3101.17,NA,0.055099999999999996
2020-06-01,3100.29,3038.78,3233.13,2965.66,NA,0.0184
2020-05-01,3044.31,2869.09,3068.67,2766.64,NA,0.0453
2020-04-01,2912.43,2498.08,2954.86,2447.49,NA,0.1268
2020-03-01,2584.59,2974.28,3136.72,2191.86,NA,-0.1251
2020-02-01,2954.22,3235.66,3393.52,2855.84,NA,-0.08410000000000001
2020-01-01,3225.52,3244.67,3337.77,3214.64,NA,-0.0016
2019-12-01,3230.78,3143.85,3247.93,3070.33,NA,0.0286
2019-11-01,3140.98,3050.72,3154.26,3050.72,NA,0.034
2019-10-01,3037.56,2983.69,3050.1,2855.94,NA,0.0204
2019-09-01,2976.74,2909.01,3021.99,2891.85,NA,0.0172
2019-08-01,2926.46,2980.32,3013.59,2822.12,NA,-0.0181
2019-07-01,2980.38,2971.41,3027.98,2952.22,NA,0.0131
2019-06-01,2941.76,2751.53,2964.15,2728.81,NA,0.0689
2019-05-01,2752.06,2952.33,2954.13,2750.52,NA,-0.0658
2019-04-01,2945.83,2848.63,2949.52,2848.63,NA,0.0393
2019-03-01,2834.4,2798.22,2860.31,2722.27,NA,0.0179
2019-02-01,2784.49,2702.32,2813.49,2681.83,NA,0.0297
2019-01-01,2704.1,2476.96,2708.95,2443.96,NA,0.0787
2018-12-01,2506.85,2790.5,2800.18,2346.58,NA,-0.09179999999999999
2018-11-01,2760.17,2717.58,2815.15,2631.09,NA,0.0179
2018-10-01,2711.74,2926.29,2939.86,2603.54,NA,-0.0694
2018-09-01,2913.98,2896.96,2940.91,2864.12,NA,0.0043
2018-08-01,2901.52,2821.17,2916.5,2796.34,NA,0.030299999999999997
2018-07-01,2816.29,2704.95,2848.03,2698.95,NA,0.036000000000000004
2018-06-01,2718.37,2718.7,2791.47,2691.99,NA,0.0048
2018-05-01,2705.27,2643.64,2742.24,2594.62,NA,0.0216
2018-04-01,2648.05,2633.45,2717.49,2553.8,NA,0.0027
2018-03-01,2640.87,2715.22,2801.9,2585.89,NA,-0.0269
2018-02-01,2713.83,2816.45,2835.96,2532.69,NA,-0.038900000000000004
2018-01-01,2823.81,2683.73,2872.87,2682.36,NA,0.0562
2017-12-01,2673.61,2645.1,2694.97,2605.52,NA,0.0098
2017-11-01,2647.58,2583.21,2657.74,2557.45,NA,0.0281
2017-10-01,2575.26,2521.2,2582.98,2520.4,NA,0.0222
2017-09-01,2519.36,2474.42,2519.44,2446.55,NA,0.019299999999999998
2017-08-01,2471.65,2477.1,2490.87,2417.35,NA,5e-4
2017-07-01,2470.3,2431.39,2484.04,2407.7,NA,0.019299999999999998
2017-06-01,2423.41,2415.65,2453.82,2405.7,NA,0.0048
2017-05-01,2411.8,2388.5,2418.71,2352.72,NA,0.0116
2017-04-01,2384.2,2362.34,2398.16,2328.95,NA,0.0091
2017-03-01,2362.72,2380.13,2400.98,2322.25,NA,-4e-4
2017-02-01,2363.64,2285.59,2371.54,2271.65,NA,0.037200000000000004
2017-01-01,2278.87,2251.57,2300.99,2245.13,NA,0.0179
2016-12-01,2238.83,2200.17,2277.53,2187.44,NA,0.0182
2016-11-01,2198.81,2128.68,2214.1,2083.79,NA,0.0342
2016-10-01,2126.15,2164.33,2169.6,2114.72,NA,-0.0194
2016-09-01,2168.27,2171.33,2187.87,2119.12,NA,-0.0012
2016-08-01,2170.95,2173.15,2193.81,2147.58,NA,-0.0012
2016-07-01,2173.6,2099.34,2177.09,2074.02,NA,0.0356
2016-06-01,2098.86,2093.94,2120.55,1991.68,NA,9e-4
2016-05-01,2096.96,2067.17,2103.48,2025.91,NA,0.015300000000000001
2016-04-01,2065.3,2056.62,2111.05,2033.8,NA,0.0027
2016-03-01,2059.74,1937.09,2072.21,1937.09,NA,0.066
2016-02-01,1932.23,1936.94,1962.96,1810.1,NA,-0.0040999999999999995
2016-01-01,1940.24,2038.2,2038.2,1812.29,NA,-0.0507
2015-12-01,2043.94,2082.93,2104.27,1993.26,NA,-0.0175
2015-11-01,2080.41,2080.76,2116.48,2019.39,NA,5e-4
2015-10-01,2079.36,1919.65,2094.32,1893.7,NA,0.083
2015-09-01,1920.03,1970.09,2020.86,1871.91,NA,-0.0264
2015-08-01,1972.18,2104.49,2112.66,1867.01,NA,-0.0626
2015-07-01,2103.84,2067,2132.82,2044.02,NA,0.0197
2015-06-01,2063.11,2108.64,2129.87,2056.32,NA,-0.021
2015-05-01,2107.39,2087.38,2134.72,2067.93,NA,0.0105
2015-04-01,2085.51,2067.63,2125.92,2048.38,NA,0.0085
2015-03-01,2067.89,2105.23,2117.52,2039.69,NA,-0.0174
2015-02-01,2104.5,1996.67,2119.59,1980.9,NA,0.054900000000000004
2015-01-01,1994.99,2058.9,2072.36,1988.12,NA,-0.031
2014-12-01,2058.9,2065.78,2093.55,1972.56,NA,-0.0042
2014-11-01,2067.56,2018.21,2075.76,2001.01,NA,0.0245
2014-10-01,2018.05,1971.44,2018.19,1820.66,NA,0.0232
2014-09-01,1972.29,2004.07,2019.26,1964.04,NA,-0.0155
2014-08-01,2003.37,1929.8,2005.04,1904.78,NA,0.0377
2014-07-01,1930.67,1962.29,1991.39,1930.67,NA,-0.0151
2014-06-01,1960.23,1923.87,1968.17,1915.98,NA,0.0191
2014-05-01,1923.57,1884.39,1924.03,1859.79,NA,0.021
2014-04-01,1883.95,1873.96,1897.28,1814.36,NA,0.0062
2014-03-01,1872.34,1857.68,1883.97,1834.44,NA,0.0069
2014-02-01,1859.45,1782.68,1867.92,1737.92,NA,0.0431
2014-01-01,1782.6,1845.9,1850.8,1770.5,NA,-0.0356
2013-12-01,1848.4,1806.5,1849.4,1768,NA,0.0236
2013-11-01,1805.8,1758.7,1813.5,1746.2,NA,0.0281
2013-10-01,1756.5,1682.4,1775.2,1646.5,NA,0.0446
2013-09-01,1681.5,1636,1729.9,1633.4,NA,0.0297
2013-08-01,1633,1689.4,1709.7,1627.5,NA,-0.0313
2013-07-01,1685.7,1609.8,1698.8,1604.6,NA,0.049400000000000006
2013-06-01,1606.3,1631.7,1654.2,1560.3,NA,-0.015
2013-05-01,1630.7,1597.5,1687.2,1581.3,NA,0.0207
2013-04-01,1597.6,1569.2,1597.6,1536,NA,0.0181
2013-03-01,1569.2,1514.7,1570.3,1501.5,NA,0.036000000000000004
2013-02-01,1514.7,1498.1,1530.9,1485,NA,0.0111
2013-01-01,1498.1,1426.2,1509.9,1426.2,NA,0.0504
2012-12-01,1426.2,1416.3,1448,1398.1,NA,0.0070999999999999995
2012-11-01,1416.2,1412.2,1434.3,1343.3,NA,0.0028000000000000004
2012-10-01,1412.2,1440.9,1471,1403.3,NA,-0.019799999999999998
2012-09-01,1440.7,1406.5,1474.5,1396.6,NA,0.0242
2012-08-01,1406.6,1379.3,1426.7,1354.7,NA,0.019799999999999998
2012-07-01,1379.3,1362.3,1391.7,1325.4,NA,0.0126
2012-06-01,1362.2,1309.9,1363.5,1266.7,NA,0.039599999999999996
2012-05-01,1310.3,1397.9,1415.3,1292,NA,-0.06269999999999999
2012-04-01,1397.9,1408.5,1422.4,1357.4,NA,-0.0075
2012-03-01,1408.5,1365.9,1419.2,1340,NA,0.0313
2012-02-01,1365.7,1312.5,1378,1312.5,NA,0.0406
2012-01-01,1312.4,1258.9,1333.5,1258.9,NA,0.0436
2011-12-01,1257.6,1246.9,1269.4,1202.4,NA,0.0085
2011-11-01,1247,1251,1277.5,1158.7,NA,-0.005
2011-10-01,1253.3,1131.2,1292.7,1074.8,NA,0.10769999999999999
2011-09-01,1131.4,1219.1,1229.3,1114.2,NA,-0.0718
2011-08-01,1218.9,1292.6,1307.4,1101.5,NA,-0.056799999999999996
2011-07-01,1292.3,1320.6,1356.5,1282.9,NA,-0.021400000000000002
2011-06-01,1320.6,1345.2,1345.2,1258.1,NA,-0.0183
2011-05-01,1345.2,1365.2,1370.6,1311.8,NA,-0.013500000000000002
2011-04-01,1363.6,1329.5,1364.6,1294.7,NA,0.0285
2011-03-01,1325.8,1328.6,1332.3,1249,NA,-0.0011
2011-02-01,1327.2,1289.1,1344.1,1289.1,NA,0.032
2011-01-01,1286.1,1257.6,1302.7,1257.6,NA,0.0227
2010-12-01,1257.6,1186.6,1262.6,1186.6,NA,0.0653
2010-11-01,1180.5,1185.7,1227.1,1173,NA,-0.0024
2010-10-01,1183.3,1143.5,1196.1,1131.9,NA,0.0369
2010-09-01,1141.2,1049.7,1157.2,1049.7,NA,0.0876
2010-08-01,1049.3,1107.5,1129.2,1039.7,NA,-0.0475
