Data,Último,Abertura,Máxima,Mínima,Vol,Var%
2025-04-01,5.6748,5.7052,6.0966,5.5929,NA,NA
2025-03-01,5.7055,5.8854,5.8854,5.632,NA,NA
2025-02-01,5.8854,5.8404,5.9184,5.6752,NA,NA
2025-01-01,5.8415,6.1847,6.2285,5.8106,NA,NA
2024-12-01,6.1778,6.0002,6.3144,5.8665,NA,NA
2024-11-01,5.973,5.7885,6.1159,5.6335,NA,NA
2024-10-01,5.7867,5.4501,5.7949,5.4037,NA,NA
2024-09-01,5.4482,5.6464,5.6769,5.3938,NA,NA
2024-08-01,5.6103,5.6507,5.8648,5.3755,NA,NA
2024-07-01,5.65,5.5921,5.7017,5.37,NA,NA
2024-06-01,5.5925,5.2459,5.5995,5.2137,NA,NA
2024-05-01,5.2443,5.194,5.2587,5.0437,NA,NA
2024-04-01,5.1934,5.0147,5.2916,4.997,NA,NA
2024-03-01,5.0153,4.9708,5.0557,4.9311,NA,NA
2024-02-01,4.9716,4.9496,5.0184,4.9072,NA,NA
2024-01-01,4.9526,4.8534,5.0023,4.8309,NA,NA
2023-12-01,4.8521,4.9265,4.9773,4.8018,NA,NA
2023-11-01,4.9205,5.0357,5.0457,4.8363,NA,NA
2023-10-01,5.035,5.0308,5.221,4.9306,NA,NA
2023-09-01,5.032,4.9555,5.08,4.839,NA,NA
2023-08-01,4.9544,4.7295,5.0024,4.728,NA,NA
2023-07-01,4.7241,4.7885,4.9507,4.695,NA,NA
2023-06-01,4.786,5.0553,5.0588,4.7505,NA,NA
2023-05-01,5.0574,4.9875,5.1279,4.8847,NA,NA
2023-04-01,4.9865,5.0637,5.1002,4.8921,NA,NA
2023-03-01,5.0631,5.2369,5.3421,5.0547,NA,NA
2023-02-01,5.2367,5.0736,5.3092,4.9401,NA,NA
2023-01-01,5.0731,5.2865,5.4802,5.056,NA,NA
2022-12-01,5.286,5.1856,5.373,5.116,NA,NA
2022-11-01,5.1851,5.1803,5.5307,5.0184,NA,NA
2022-10-01,5.1791,5.4158,5.4158,5.1083,NA,NA
2022-09-01,5.4154,5.1833,5.43,5.0766,NA,NA
2022-08-01,5.1831,5.1759,5.3163,5.0076,NA,NA
2022-07-01,5.1734,5.2569,5.5152,5.1448,NA,NA
2022-06-01,5.2562,4.7319,5.2792,4.7218,NA,NA
2022-05-01,4.7315,4.9692,5.2102,4.6904,NA,NA
2022-04-01,4.9721,4.7408,5.0461,4.5805,NA,NA
2022-03-01,4.739,5.1605,5.2233,4.7148,NA,NA
2022-02-01,5.1599,5.2983,5.3509,4.9939,NA,NA
2022-01-01,5.3041,5.5668,5.7255,5.2838,NA,NA
2021-12-01,5.5703,5.6243,5.7579,5.5175,NA,NA
2021-11-01,5.6239,5.6221,5.7,5.3879,NA,NA
2021-10-01,5.6372,5.4432,5.7547,5.3527,NA,NA
2021-09-01,5.4428,5.1694,5.4767,5.131,NA,NA
2021-08-01,5.1492000000000004,5.2158,5.4757,5.1101,NA,NA
2021-07-01,5.2123,4.9705,5.3145,4.9467,NA,NA
2021-06-01,4.9686,5.221,5.2212,4.8929,NA,NA
2021-05-01,5.2172,5.436,5.4843,5.1964,NA,NA
2021-04-01,5.4366,5.633,5.7562,5.3274,NA,NA
2021-03-01,5.6315,5.587,5.8787,5.4482,NA,NA
2021-02-01,5.5986,5.4663,5.6093,5.3042,NA,NA
2021-01-01,5.4625,5.1351,5.5166,5.1197,NA,NA
2020-12-01,5.1937,5.3158,5.3301,5.01,NA,NA
